,model,conclusion_type,yes_prob,prompt,premise_1,premise_2,premise_3,conclusion
0,gpt,specific,0.917729914188385,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and chimps have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,chimp,,horse
1,gpt,specific,0.9266862273216248,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and gorillas have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,gorilla,,horse
2,gpt,specific,0.9112192988395691,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,mouse,,horse
3,gpt,specific,0.9087905287742615,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,squirrel,,horse
4,gpt,specific,0.9190493226051331,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,dolphin,,horse
5,gpt,specific,0.9176042675971985,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,seal,,horse
6,gpt,specific,0.9187252521514893,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,elephant,,horse
7,gpt,specific,0.9123323559761047,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,rhino,,horse
8,gpt,specific,0.9342823028564453,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and gorillas have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,,horse
9,gpt,specific,0.9200066924095154,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,mouse,,horse
10,gpt,specific,0.9161204099655151,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,,horse
11,gpt,specific,0.9259172677993774,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,dolphin,,horse
12,gpt,specific,0.9228988289833069,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,seal,,horse
13,gpt,specific,0.9262402057647705,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,elephant,,horse
14,gpt,specific,0.9209580421447754,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,rhino,,horse
15,gpt,specific,0.9394815564155579,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,mouse,,horse
16,gpt,specific,0.9360495805740356,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,squirrel,,horse
17,gpt,specific,0.9409957528114319,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,dolphin,,horse
18,gpt,specific,0.9414820671081543,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,seal,,horse
19,gpt,specific,0.9419211149215698,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,elephant,,horse
20,gpt,specific,0.9386439323425293,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,rhino,,horse
21,gpt,specific,0.9024404883384705,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,squirrel,,horse
22,gpt,specific,0.9126147031784058,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,dolphin,,horse
23,gpt,specific,0.910979151725769,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,seal,,horse
24,gpt,specific,0.9119232296943665,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,elephant,,horse
